LATITUDE,LONGITUDE,HOUR,DAYOFWEEK,MONTH,BLOCK CODE,LOCATION CODE, PRIMARY DESCRIPTION
41.72315528,-87.6081308,10,0,2,26585,116,ARSON
41.97873699,-87.76906368,18,0,2,19402,15,ARSON
41.98496396,-87.69475489,19,5,12,11163,116,ARSON
41.78877235,-87.71632351,16,0,6,14893,126,ARSON
41.83988718,-87.71222899,0,4,1,11798,116,ARSON
41.79100465,-87.69494548,0,0,1,20434,99,ARSON
41.68316018,-87.64208799,23,4,9,28204,103,ARSON
41.7874034,-87.70828435,0,0,1,20966,110,ARSON
41.92623171,-87.63388835,0,1,9,10118,116,ARSON
41.90115195,-87.77290999,0,0,1,4877,112,ARSON
41.92852005,-87.70552325,2,2,4,12987,15,ARSON
41.69977353,-87.63153619,0,0,1,1691,99,ARSON
41.93780722,-87.82305621,0,0,1,24901,24,ARSON
41.87950122,-87.62688517,0,0,1,110,103,ARSON
41.88073106,-87.62874073,0,0,1,463,45,ARSON
41.76746625,-87.68943113,0,0,1,23501,116,ARSON
41.77438345,-87.70058008,0,0,1,22724,116,ARSON
41.77168605,-87.70212061,0,0,1,12990,121,ARSON
41.81081705,-87.63889784,21,4,3,2553,116,ARSON
41.97049084,-87.68492669,0,0,1,9579,99,ARSON
41.82555615,-87.69315311,0,0,1,11439,15,ARSON
41.74317925,-87.60014826,19,3,4,25505,17,ARSON
41.77839709,-87.68606614,0,0,1,22270,17,ARSON
41.68982216,-87.62654059,19,1,9,835,99,ARSON
41.72860975,-87.59373074,17,5,3,26303,15,ARSON
41.83980253,-87.72564656,18,1,10,11773,116,ARSON
41.93381281,-87.7857813,0,0,1,12072,112,ARSON
41.83089004,-87.63550334,0,0,1,1728,114,ARSON
41.71825581,-87.57525682,0,0,1,26832,100,ARSON
41.765444,-87.62690618,18,1,12,403,17,ARSON
41.79516623,-87.73546754,0,0,1,19498,116,ARSON
41.88285803,-87.76659936,0,0,1,718,116,ARSON
41.80462016,-87.68436817,5,2,1,18283,52,ARSON
41.81034948,-87.70647304,23,6,3,17158,116,ARSON
41.75809164,-87.59199958,0,0,1,24425,99,ARSON
41.74267567,-87.6438098,0,0,1,25511,120,ARSON
41.9417486,-87.66871808,15,4,11,13379,59,ARSON
41.68223232,-87.62402814,0,0,1,28208,99,ARSON
41.94313694,-87.6849944,3,2,10,9669,99,ARSON
41.86162829,-87.71650097,6,5,5,6203,17,ARSON
41.90996936,-87.64340104,0,0,1,6569,116,ARSON
41.75236837,-87.60768479,22,5,9,24847,100,ARSON
41.76295729,-87.61841507,3,1,4,23986,100,ARSON
41.74962032,-87.71854189,22,4,5,15264,45,ARSON
41.74015518,-87.5587637,0,0,1,25784,99,ARSON
41.77128025,-87.73028588,0,0,1,16688,99,ARSON
41.76230382,-87.59878699,22,4,2,4416,17,ARSON
41.89799959,-87.73236057,11,2,10,16440,100,ARSON
41.8877626,-87.66138202,0,0,1,1576,69,ARSON
41.734739,-87.54440078,18,0,9,26053,15,ARSON
41.82798748,-87.67277999,0,0,1,14540,99,ARSON
41.67792594,-87.63154299,0,0,1,1708,99,ARSON
41.70815248,-87.62714189,0,0,1,27188,99,ARSON
41.87674762,-87.68874291,2,6,2,1600,116,ARSON
41.83380896,-87.65225565,0,0,1,13502,116,ARSON
41.86858372,-87.77301463,9,6,6,4564,126,ARSON
41.93478348,-87.69280801,12,0,2,12093,101,ARSON
41.69235865,-87.62309675,0,0,1,27921,69,ARSON
41.89252141,-87.74817194,0,0,1,2799,17,ARSON
41.88907661,-87.6707444,0,0,1,1992,15,ARSON
41.84220405,-87.70129223,23,4,11,11416,116,ARSON
41.89328168,-87.62759645,17,3,11,151,17,ARSON
41.8278594,-87.68741369,0,0,1,14489,126,ARSON
41.88392966,-87.68006282,0,0,1,9269,17,ARSON
41.74015518,-87.5587637,2,4,8,25784,99,ARSON
41.81347393,-87.68401102,19,5,6,16899,126,ARSON
41.88473798,-87.76829774,0,0,1,1166,116,ARSON
41.77037432,-87.62182258,0,0,1,23316,15,ARSON
41.89802038,-87.75077374,0,0,1,4083,17,ARSON
41.7540189,-87.61136041,0,0,1,24723,100,ARSON
41.89192592,-87.77068781,0,0,1,21090,101,ARSON
41.75955223,-87.5908209,17,6,5,24267,17,ARSON
41.87024178,-87.68741676,0,0,1,10342,15,ARSON
41.8961651,-87.69548233,0,0,1,3636,116,ARSON
41.74015518,-87.5587637,0,0,1,25784,99,ARSON
41.93894046,-87.73862523,0,0,1,16930,61,ARSON
41.80305144,-87.61799155,0,0,1,18504,38,ARSON
41.89769003,-87.72984739,0,0,1,4070,15,ARSON
41.74014912,-87.54296419,0,0,1,25782,116,ARSON
42.00819726,-87.66787232,23,3,6,23391,112,ARSON
41.91913201,-87.78653145,1,0,11,9026,116,ARSON
41.88171846,-87.62776043,0,0,1,327,113,ARSON
41.82020328,-87.68602317,0,0,1,15772,116,ARSON
41.77656462,-87.63195346,0,0,1,1308,100,ARSON
41.77001406,-87.6469593,2,3,5,23324,15,ARSON
41.81118283,-87.72002975,1,1,9,17095,99,ARSON
41.93430611,-87.76143986,0,0,1,12051,116,ARSON
41.71825581,-87.57525682,0,0,1,26832,100,ARSON
41.92050047,-87.75280335,23,5,10,18666,116,ARSON
41.74015518,-87.5587637,3,4,1,25784,99,ARSON
41.91774426,-87.73024637,0,0,1,8579,116,ARSON
41.7356296,-87.5454121,17,6,10,13040,126,ARSON
41.73027464,-87.60389261,4,4,9,3597,116,ARSON
41.77027669,-87.62024003,0,0,1,23291,100,ARSON
41.95796398,-87.73557332,0,0,1,16233,15,ARSON
41.8068435,-87.62276898,0,0,1,17960,17,ARSON
41.75418696,-87.61015644,13,5,2,24733,99,ARSON
41.75153062,-87.58195305,0,0,1,7354,116,ARSON
41.88073157,-87.69106772,0,0,1,320,120,ARSON
41.795253,-87.70946595,0,0,1,13881,99,ARSON
41.70742922,-87.60665223,0,0,1,2685,120,ARSON
41.66828756,-87.63918367,0,0,1,28481,15,ARSON
41.74497854,-87.60257925,3,2,2,25378,17,ARSON
41.87622583,-87.72179132,0,0,1,15311,17,ARSON
41.72860975,-87.59373074,0,0,1,26303,102,ARSON
41.83699242,-87.65691902,0,0,1,5378,116,ARSON
41.68108495,-87.62398949,0,3,8,28254,15,ARSON
41.73124779,-87.65199561,0,6,11,26190,15,ARSON
41.77765165,-87.61556087,14,5,2,22533,72,ARSON
41.75458858,-87.59434879,2,5,6,24645,116,ARSON
41.77795083,-87.61556854,0,0,1,22533,17,ARSON
41.76844652,-87.61412023,0,0,1,23504,101,ARSON
41.7533105,-87.64896605,0,0,1,24713,116,ARSON
41.73891046,-87.64977849,8,0,9,25727,112,ARSON
41.88066079,-87.73118641,0,0,1,16421,72,ARSON
41.76215627,-87.58233125,19,2,7,24163,17,ARSON
41.88617987,-87.62452366,12,3,4,1142,15,ARSON
41.85390879,-87.6817302,0,0,1,9548,100,ARSON
41.7848306,-87.64012066,15,6,11,21577,116,ARSON
41.910748,-87.73368482,2,2,4,6972,15,ARSON
41.81111141,-87.6879598,0,0,1,10683,102,ARSON
41.77142762,-87.63651479,23,0,12,2242,99,ARSON
41.90843054,-87.63850953,0,0,1,6144,17,ARSON
41.81515153,-87.63232865,22,6,6,16600,99,ARSON
41.8635962,-87.72998455,18,3,3,5749,17,ARSON
41.77463258,-87.62345458,0,0,1,79,116,ARSON
41.77878219,-87.65204996,0,0,1,22258,17,ARSON
41.75806457,-87.59078307,0,3,6,24402,112,ARSON
41.7034779,-87.6234175,1,5,8,27366,99,ARSON
41.8113623,-87.60594456,0,0,1,3555,101,ARSON
41.90259553,-87.76566814,0,0,1,5214,116,ARSON
41.95809636,-87.74419364,18,5,11,16235,94,ARSON
41.75618267,-87.60287731,0,0,1,24536,116,ARSON
41.75827202,-87.56515044,0,0,1,24447,102,ARSON
41.75283801,-87.58212104,19,4,11,24871,17,ARSON
41.9727543,-87.73802762,0,0,1,18431,101,ARSON
41.89065439,-87.66550553,2,1,12,1967,116,ARSON
41.78077688,-87.64967134,0,0,1,22072,99,ARSON
41.8758062,-87.75087271,0,0,1,18640,116,ARSON
41.81324311,-87.63574628,0,0,1,16885,99,ARSON
41.81324311,-87.63574628,0,0,1,16885,120,ARSON
41.76477671,-87.71284764,0,0,1,23597,126,ARSON
41.87882764,-87.72909955,0,0,1,16202,17,ARSON
41.97372526,-87.84490066,0,0,1,26042,116,ARSON
41.7790699,-87.69646073,0,0,1,12186,126,ARSON
42.01852731,-87.69018347,0,0,1,24376,15,ARSON
41.9756677,-87.66836186,16,2,1,18709,15,ARSON
41.77671662,-87.6738343,0,4,5,22530,99,ARSON
41.98561249,-87.68951072,0,0,1,20645,112,ARSON
41.90902721,-87.72894342,23,1,1,6554,99,ARSON
